content,author,year,date_mm_dd,split,VST,HST,SA,OR,WB
"It had been dark long before we reached Hamilton, and William had some difficulty in driving the tired horse through the town. At the inn they hesitated about being able to give us beds, the house being brim-full--lights at every window. We were rather alarmed for our accommodations during the rest of the tour, supposing the house to be filled with tourists; but they were in general only regular travellers; for out of the main road from town to town we saw scarcely a carriage, and the inns were empty. There was nothing remarkable in the treatment we met with at this inn, except the lazy impertinence of the waiter. It was a townish place, with a great larder set out; the house throughout dirty.",wordsworth,1803,08-21,uncertain,,,,,
"Primroses by the road-side, pile wort that shone like stars of gold in the sun, violets, strawberries, retired and half-buried among the grass. When we came to the foot of Brothers Water, I left William sitting on the bridge, and went along the path on the right side of the lake through the wood. I was delighted with what I saw. The water under the boughs of the bare old trees, the simplicity of the mountains, and the exquisite beauty of the path. There was one grey cottage. I repeated The Glow-worm, as I walked along. I hung over the gate, and thought I could have stayed for ever. When I returned, I found William writing a poem descriptive of the sights and sounds we saw and heard.[56] There was the gentle flowing of the stream, the glittering, lively lake, green fields without a living creature to be seen on them; behind us, a flat pasture with forty-two cattle feeding; to our left, the road leading to the hamlet. No smoke there, the sun shone on the bare roofs. The people were at work ploughing, harrowing, and sowing; ... a dog barking now and then, cocks crowing, birds twittering, the snow in patches at the top of the highest hills, yellow palms, purple and green twigs on the birches, ashes with their glittering stems quite bare. The hawthorn a bright green, with black stems under the oak. The moss of the oak glossy. We went on. Passed two sisters at work (they first passed us), one with two pitchforks in her hand, the other had a spade. We had come to talk with them. They laughed long after we were gone, perhaps half in wantonness, half boldness.",wordsworth,1802,04-16,uncertain,,,,,
"[53]--A fine grey morning.... I read German, and a little before dinner Wm. also read. We walked on Butterlip How under the wind. It rained all the while, but we had a pleasant walk. The mountains of Easedale, black or covered with snow at the tops, gave a peculiar softness to the valley. The clouds hid the tops of some of them. The valley was populous and enlivened with streams....",wordsworth,1802,02-30,uncertain,,,,,
"But her servant made amends, for she was as pleasant and cheerful a lass as was ever seen; and when we asked her to do anything, she answered, ""Oh yes,"" with a merry smile, and almost ran to get us what we wanted. She was about sixteen years old: wore shoes and stockings, and had her hair tucked up with a comb. The servant at Brownhill was a coarse-looking wench, barefoot and bare-legged. I examined the kitchen round about; it was crowded with furniture, drawers, cupboards, dish-covers, pictures, pans, and pots, arranged without order, except that the plates were on shelves, and the dish-covers hung in rows; these were very clean, but floors, passages, staircase, everything else dirty. There were two beds in recesses in the wall; above one of them I noticed a shelf with some books:--it made me think of Chaucer's Clerke of Oxenforde:-- Liever had he at his bed's head Twenty books clothed in black and red. They were baking oat-bread, which they cut into quarters, and half-baked over the fire, and half-toasted before it. There was a suspiciousness about Mrs. Otto, almost like ill-nature; she was very jealous of any inquiries that might appear to be made with the faintest idea of a comparison between Leadhills and any other place, except the advantage was evidently on the side of Leadhills. We had nice honey to breakfast. When ready to depart, we learned that we might have seen the library, which we had not thought of till it was too late, and we were very sorry to go away without seeing it.",wordsworth,1803,08-19,uncertain,,,,,
"Amongst them was a man, who had walked with us a considerable way in the morning, and told us he was just come from America, where he had been for some years,--was going to his own home, and should return to America. He spoke of emigration as a glorious thing for them who had money. Poor fellow! I do not think that he had brought much back with him, for he had worked his passage over: I much suspected that a bundle, which he carried upon a stick, tied in a pocket-handkerchief, contained his all. He was almost blind, he said, as were many of the crew. He intended crossing the lake at the ferry; but it was stormy, and he thought he should not be able to get over that day. I could not help smiling when I saw him lying by the roadside with such a company about him, not like a wayfaring man, but seeming as much at home and at his ease as if he had just stepped out of his hut among them, and they had been neighbours all their lives. Passed one pretty house, a large thatched dwelling with out-houses, but the prospect above and below was solitary. The sun had long been set before we returned to the inn. As travellers, we were glad to see the moon over the top of one of the hills, but it was a cloudy night, without any peculiar beauty or solemnity. After tea we made inquiries respecting the best way to go to Loch Ketterine; the landlord could give but little information, and nobody seemed to know anything distinctly of the place, though it was but ten miles off.",wordsworth,1803,08-25,uncertain,,,,,
"The Coleridges left us. A cold, windy morning. Walked with them half way. On our return, sheltered under the hollies, during a hail-shower. The withered leaves danced with the hailstones. William wrote a description of the storm.[9]",wordsworth,1798,03-18,uncertain,,,,,
"We sowed the scarlet beans in the orchard, and read Henry V. there. William lay on his back on the seat, and wept.... After dinner William added one to the orchard steps.",wordsworth,1802,05-08,uncertain,,,,,
"Afterwards Canterbury, situated on a plain, rich and woody, but the city and cathedral disappointed me. Hop grounds on each side of the road some miles from Canterbury; then we came to a common, the race ground, an elevated plain, villages among trees in the bed of a valley at our right, and, rising above this valley, green hills scattered over with wood, neat gentlemen's houses. One white house, almost hid with green trees, which we longed for, and the parson's house, as neat a place as could be, which would just have suited Coleridge. No doubt we may have found one for Tom Hutchinson and Sara, and a good farm too. We halted at a half-way house--fruit carts under the shade of trees, seats for guests, a tempting place to the weary traveller. Still, as we went along, the country was beautiful and hilly, with cottages lurking under the hills, and their little plots of hop ground like vineyards. It was a bad hop year. A woman on the top of the coach said to me, ""It is a sad thing for the poor people, for the hop-gathering is the woman's harvest; there is employment about the hops for women and children."" We saw the castle of Dover, and the sea beyond, four or five miles before we reached it. We looked at it through a long vale, the castle being upon an eminence, as it seemed, at the end of this vale, which opened to the sea. The country now became less fertile, but near Dover it seemed more rich again. Many buildings stand on the flat fields, sheltered with tall trees.",wordsworth,1802,07-20,uncertain,,,,,
"A very fine, clear frost. I stitched up The Pedlar; wrote out Ruth; read it with the alterations, then wrote Mary H. Read a little German, ... and in came William, I did not expect him till to-morrow. How glad I was. After we had talked about an hour, I gave him his dinner. We sate talking and happy. He brought two new stanzas of Ruth....",wordsworth,1802,02-35,uncertain,,,,,
"In the morning we observed that the scarlet beans were drooping in the leaves in great numbers, owing, we guess, to an insect.... Yesterday an old man called, a grey-headed man, above seventy years of age. He said he had been a soldier, that his wife and children had died in Jamaica. He had a beggar's wallet over his shoulders; a coat of shreds and patches, altogether of a drab colour; he was tall, and though his body was bent, he had the look of one used to have been upright. I talked a while, and then gave him a piece of cold bacon and some money. Said he, ""You're a fine woman!"" I could not help smiling; I suppose he meant, ""You're a kind woman."" Afterwards a woman called, travelling to Glasgow. After dinner we went into Frank's field, crawled up the little glen, and planned a seat; ... found a beautiful shell-like purple fungus in Frank's field. After tea we walked to Butterlip How, and backwards and forwards there. All the young oak tree leaves are dry as powder. A cold south wind, portending rain....",wordsworth,1802,06-02,uncertain,,,,,
"His breeches were either of fustian, or grey cloth, with strings hanging down, whole and tight. He had a checked shirt on, and a small coloured handkerchief tied round his neck. His bags were hung over each shoulder, and lay on each side of him, below his breast. One was brownish and of coarse stuff, the other was white with meal on the outside, and his blue waistcoat was whitened with meal. * * * * * * We overtook old Fleming at Rydale, leading his little Dutchman-like grandchild along the slippery road. The same face seemed to be natural to them both--the old man and the little child--and they went hand in hand, the grandfather cautious, yet looking proud of his charge. He had two patches of new cloth at the shoulder-blades of his faded claret-coloured coat, like eyes at each shoulder, not worn elsewhere. I found Mary at home in her riding-habit, all her clothes being put up. We were very sad about Coleridge.... We stopped to look at the stone seat at the top of the hill. There was a white cushion upon it, round at the edge like a cushion, and the rock behind looked soft as velvet, of a vivid green, and so tempting! The snow too looked as soft as a down cushion. A young foxglove, like a star, in the centre. There were a few green lichens about it, and a few withered brackens of fern here and there upon the ground near, all else was a thick snow; no footmark to it, not the foot of a sheep.... We sate snugly round the fire. I read to them the Tale of Constance and the Syrian monarch, in the Man of Lawe's Tale, also some of the Prologue....",wordsworth,1801,12-22,uncertain,,,,,
"Meanwhile, the sense of quiet was never lost sight of; the little peaceful lakes among the islands might make you forget that the great water, Loch Lomond, was so near; and yet are more beautiful, because you know that it is so: they have their own bays and creeks sheltered within a shelter. When we had ascended to the top of the island we had a view up to Ben Lomond, over the long, broad water without spot or rock; and, looking backwards, saw the islands below us as on a map. This view, as may be supposed, was not nearly so interesting as those we had seen before. We hunted out all the houses on the shore, which were very few: there was the village of Luss, the two gentlemen's houses, our favourite cottages, and here and there a hut; but I do not recollect any comfortable-looking farm-houses, and on the opposite shore not a single dwelling. The whole scene was a combination of natural wildness, loveliness, beauty, and barrenness, or rather bareness, yet not comfortless or cold; but the whole was beautiful. We were too far off the more distant shore to distinguish any particular spots which we might have regretted were not better cultivated, and near Luss there was no want of houses. After we had left the island, having been so much taken with the beauty of the bark hut and the little lake by which it appeared to stand, we desired the boatman to row us through it, and we landed at the hut. Walked upon the island for some time, and found out sheltered places for cottages.",wordsworth,1803,08-25,uncertain,,,,,
